country,percent
AGO,0
QAT,0
BGD,0
BGR,0
PAK,0
PAN,0
VNM,0
KOR,0.098404337
PRK,0.098404337
BWA,0
TZA,0
KNA,0
GIB,0
DJI,0
GIN,0
FIN,1.88687977
THA,0.000343725
SYC,0
NPL,0
MAR,0
YEM,0
PHL,0
ZAF,0.038869106
KIR,0
MNE,0
VIR,0
BEN,0
GUF,0
BEL,0.100041027
GUM,0
GBR,0.260615159
GUY,0
CRI,0.001113325
CMR,0
LSO,0
HUN,0.048353421
BLZ,0
TTO,0
TCD,0
GEO,0
MHL,0
DOM,0
BLR,0
GRD,0
GRL,0
AND,0
MOZ,0
MKD,0
VCT,0
TJK,0
MEX,0.01730781
LCA,0
IND,0.000111308
NOR,2.216365832
FJI,0
HND,0
SMR,0
PER,0
VUT,0
COG,0
ETH,0
COM,0
COL,0
GGY,0
MDG,0
ANT,0
MDV,0
SRB,0
LTU,0
RWA,0
ZMB,0
POL,0.052127181
JEY,0
MDA,0
AUS,1.768764913
AUT,0.642817619
PLW,0
ALB,0
MMR,0
GNQ,0
WSM,0
UKR,0
GNB,0
TON,0
CAN,0.91598104
ERI,0
GRC,0.048291602
SOM,0
GAB,0
IRQ,0
IRL,0.169686377
ABW,0
SYR,0
NZL,0.285941241
NCL,0
ARE,0
ARG,0.002992874
SDN,0
SSD,0
BHR,0
ARM,0
PNG,0
LIE,0
EGY,0
NAM,0
SVK,0
GHA,0
BOL,0
FSM,0
JOR,0
LBR,0
LBY,0
MYS,0.001047822
PRI,0
CPV,0
PRT,0.250426501
KHM,0
PRY,0
SAU,0
LBN,0
SVN,0
BFA,0
CHE,1.751713322
MRT,0
HRV,0
CHL,0.036548938
CHN,0
JAM,0
URY,0
NIC,0
KAZ,0
PYF,0
NGA,0
PSE,0
COD,0
DEU,0.43528529
LKA,0
MWI,0
CIV,0
UGA,0
TKM,0
NLD,1.320008028
BMU,0
ROU,0
MNG,0
MAC,0
AFG,0
BDI,0
LVA,0
RUS,0.000672532
HTI,0
STP,0
BTN,0
CZE,0
ATG,0
MUS,0
DMA,0
LUX,0.153198791
ISR,0.310579197
IDN,0
SUR,0
ISL,1.53916008
NER,0
ECU,0.005118035
HKG,0.849527883
SEN,0
TLS,0
FRA,0.279049463
GMB,0
FRO,0
GTM,0
DNK,0.386913951
ZWE,0
CUB,0
KEN,0
TUR,0
OMN,0
TUV,0
ITA,0.070053433
BRN,0
TUN,0
BRB,0
BRA,0.012946262
USA,1.724202539
SWE,1.497871352
AZE,0
LAO,0
SWZ,0
VEN,0.012082134
CYP,0.05006043
BIH,0
CAF,0
SGP,0.471368155
IRN,0
UZB,0
KWT,0
TGO,0
CYM,0
EST,0.065484797
ESP,0.076845453
SLV,0
MLI,0
MLT,0
SLE,0
BHS,0
SLB,0
JPN,0.096678025
KGZ,0
DZA,0
NRU,0
